Linux 4.4.0-142-generic (node0.g16-a2.cs744-s19-pg0.wisc.cloudlab.us) 	04/19/2019 	_x86_64_	(40 CPU)

12:12:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:15:21 PM     all     47.43      0.00     11.03      0.00      0.00     41.54
12:15:22 PM     all     82.92      0.00      4.93      0.00      0.00     12.15
12:15:23 PM     all     88.40      0.00      7.00      0.00      0.00      4.60
12:15:24 PM     all     44.11      0.00      4.10      0.00      0.00     51.79
12:15:25 PM     all     34.96      0.00      1.20      0.00      0.00     63.85
12:15:26 PM     all     44.62      0.00     12.27      0.00      0.00     43.12
12:15:27 PM     all     80.05      0.00      5.39      0.00      0.00     14.56
12:15:28 PM     all     90.37      0.00      6.39      0.00      0.00      3.23
12:15:29 PM     all     45.92      0.00      5.24      0.00      0.00     48.83
12:15:30 PM     all     32.90      0.00      2.57      0.00      0.00     64.52
12:15:31 PM     all     38.95      0.00      9.79      0.00      0.00     51.25
12:15:32 PM     all     77.12      0.00      6.55      0.00      0.00     16.33
12:15:33 PM     all     94.26      0.00      4.24      0.00      0.00      1.50
12:15:34 PM     all     53.56      0.00      3.81      0.00      0.00     42.63
12:15:35 PM     all     33.33      0.00      1.92      0.00      0.00     64.74
12:15:36 PM     all     42.49      0.00      6.00      0.00      0.00     51.52
12:15:37 PM     all     79.15      0.00      7.47      0.00      0.00     13.38
12:15:38 PM     all     93.08      0.00      3.74      0.00      0.00      3.18
12:15:39 PM     all     50.95      0.00      6.50      0.00      0.00     42.55
12:15:40 PM     all     31.26      0.00     11.49      0.00      0.00     57.25
12:15:41 PM     all     35.13      0.00      5.90      0.00      0.00     58.97
12:15:42 PM     all     75.79      0.00      8.75      0.00      0.00     15.47
12:15:43 PM     all     94.16      0.00      3.84      0.00      0.00      2.00
12:15:44 PM     all     55.32      0.00      9.73      0.00      0.00     34.96
12:15:45 PM     all     36.70      0.00      1.98      0.00      0.00     61.31
12:15:46 PM     all     32.06      0.00      6.94      0.03      0.00     60.97
12:15:47 PM     all     42.14      0.00      8.79      0.00      0.00     49.06
12:15:48 PM     all     86.34      0.00      5.19      0.00      0.00      8.47
12:15:49 PM     all     82.27      0.00     11.09      0.00      0.00      6.65
12:15:50 PM     all     43.47      0.00      8.36      0.00      0.00     48.17
12:15:51 PM     all     30.41      0.00      1.30      0.02      0.00     68.26
12:15:52 PM     all      0.75      0.00      1.85      0.00      0.00     97.40
12:15:53 PM     all      1.75      0.00      0.93      0.18      0.00     97.15
12:15:54 PM     all      3.56      0.00      4.86      0.00      0.00     91.58
